,seats,app,rate,rate2,reg,reg_rate
1,46,108,2.35,2.17,20,43.5%
2,55,284,5.16,4.96,26,47.3%
3,36,181,5.03,4.75,29,80.6%
4,31,90,2.9,2.74,11,35.5%
5,27,48,1.78,1.59,8,29.6%
6,37,74,2,1.43,4,10.8%
7,36,135,3.75,3.53,11,30.6%
8,32,120,3.75,3.22,26,81.3%
9,32,172,5.38,5,14,43.8%
10,47,82,1.74,1.6,17,36.2%
11,82,292,3.56,3.29,20,24.4%
12,73,139,1.9,1.71,19,26.0%
13,55,106,1.93,1.76,18,32.7%
14,46,155,3.37,3.2,21,45.7%
15,27,41,1.52,1.3,6,22.2%
16,32,116,3.63,3.38,9,28.1%
17,32,229,7.16,6.75,11,34.4%
18,32,152,4.75,4.28,23,71.9%
19,37,142,3.84,3.62,13,35.1%
20,41,161,3.93,3.49,5,12.2%
21,48,260,5.42,4.96,16,33.3%
22,27,76,2.81,2.33,16,59.3%
23,32,117,3.66,3.53,15,46.9%
24,33,83,2.52,2.3,7,21.2%
25,52,673,12.94,8.54,54,103.9%
26,36,130,3.61,3.03,19,52.8%
27,35,236,6.74,5.86,36,102.9%
28,38,229,6.03,5.71,11,29.0%
29,39,324,8.31,7.51,39,100.0%
30,36,485,13.47,12.22,36,100.0%
31,36,283,7.86,6.89,37,102.8%
32,27,176,6.52,5.63,23,85.2%
33,45,182,4.04,3.8,31,68.9%
34,37,143,3.86,3.49,13,35.1%
35,36,178,4.94,4.83,27,75.0%
36,33,165,5,4.79,35,106.1%
37,27,126,4.67,4.15,16,59.3%
38,27,211,7.81,7.44,28,103.7%
39,38,180,4.74,4.29,25,65.8%
40,37,214,5.78,5.22,20,54.1%
41,32,137,4.28,4,23,71.9%
42,27,280,10.37,5.11,26,96.3%
43,9,35,3.89,3.67,2,22.2%
44,10,33,3.3,2.6,10,100.0%
45,10,16,1.6,1,10,100.0%
46,10,11,1.1,0.7,6,60.0%
47,10,28,2.8,1,10,100.0%
48,39,95,2.44,2.31,39,69.2%
49,57,288,5.05,4.82,57,78.9%
50,34,212,6.24,5.91,34,100.0%
51,34,82,2.41,2.29,34,50.0%
52,34,109,3.21,3.12,34,44.1%
53,32,134,4.19,3.94,32,84.4%
54,33,136,4.12,3.97,33,33.3%
55,38,127,3.34,3.05,38,50.0%
56,63,126,2,1.94,63,19.0%
57,58,80,1.38,1.31,58,17.2%
58,41,59,1.44,1.44,41,7.3%
59,38,102,2.68,2.58,38,57.9%
60,21,36,1.71,1.71,21,38.1%
61,39,193,4.95,4.56,39,23.1%
62,39,117,3,2.87,39,41.0%
63,38,99,2.61,2.45,38,39.5%
64,55,247,4.49,4.16,55,36.4%
65,27,89,3.3,3,27,33.3%
66,52,"1,573",30.25,20.04,52,100.0%
67,32,125,3.91,3.63,32,50.0%
68,36,279,7.75,7.36,36,94.4%
69,32,152,4.75,4.59,32,53.1%
70,45,469,10.42,9.56,45,95.6%
71,37,447,12.08,11.14,37,94.6%
72,36,329,9.14,8.14,36,94.4%
73,27,188,6.96,5.59,27,88.9%
74,41,157,3.83,3.49,41,56.1%
75,33,122,3.7,3.58,33,54.5%
76,32,186,5.81,5.59,32,75.0%
77,32,104,3.25,3.22,32,71.9%
78,26,114,4.38,4.31,26,42.3%
79,26,137,5.27,4.85,26,84.6%
80,32,257,8.03,7.75,32,90.6%
81,31,140,4.52,4.23,31,90.3%
82,33,126,3.82,3.39,33,51.5%
83,36,253,7.03,4.44,36,97.2%
84,25,39,1.56,1.44,25,96.0%
85,20,21,1.05,1,20,65.0%
86,20,20,1,0.95,20,55.0%
87,25,25,1,1,25,76.0%
88,20,22,1.1,1.1,20,85.0%
89,90,157,1.74,1.74,90,53.3%
